Generation,NV,TOC
1,55,22860.289084
1,57,22314.986349
1,63,21150.691352
1,69,20301.698966
1,75,19285.323124
1,76,19079.083474
1,83,18800.774846
1,84,18476.196896
1,88,18336.178213
1,89,18289.366074
1,91,18072.225827
1,114,17481.269472
1,140,17370.606875
1,144,17223.305369
1,151,16880.991183
2,53,23819.072222
2,55,22860.289084
2,56,22601.347299
2,57,22314.986349
2,58,22258.214802
2,59,22030.624695
2,60,21779.351653
2,63,21150.691352
2,69,20301.698966
2,75,19285.323124
2,76,19079.083474
2,81,18788.238047
2,84,18476.196896
2,88,18336.178213
2,89,18289.366074
2,91,18072.225827
2,93,17992.676576
2,110,17910.904625
2,112,17792.816345
2,114,17481.269472
2,129,17330.326574
2,134,16983.530408
2,136,16728.779237
3,53,23819.072222
3,55,22860.289084
3,56,22395.269155
3,57,22140.262095
3,58,21998.753040
3,59,21903.764480
3,60,21779.351653
3,63,21150.691352
3,65,20978.428799
3,67,19082.471163
3,76,19079.083474
3,81,18788.238047
3,83,18721.464762
3,84,18476.196896
3,87,17289.802962
3,109,17151.355665
3,134,16983.530408
3,136,16598.272561
3,137,16452.725023
3,141,16276.912404
3,142,16272.959054
4,53,23819.072222
4,55,22384.350545
4,57,22140.262095
4,58,21975.775487
4,59,21429.429254
4,60,20770.428079
4,64,20410.042341
4,66,19494.645937
4,67,19082.471163
4,74,18701.753151
4,78,18536.395645
4,84,17956.835865
4,87,17289.802962
4,94,16654.090441
4,136,16598.272561
4,137,16452.725023
4,140,16412.213564
4,141,16276.912404
4,142,16272.959054
5,49,23070.985274
5,52,20187.756510
5,66,19494.645937
5,67,19082.471163
5,71,18843.374039
5,72,18780.300517
5,74,18701.753151
5,78,18385.329921
5,80,18253.008301
5,84,17509.470908
5,87,17289.802962
5,91,17262.210781
5,92,17083.924397
5,94,16654.090441
5,106,16591.245449
5,129,16580.225196
5,136,16082.743559
6,47,23021.412827
6,52,20187.756510
6,66,19494.645937
6,67,19082.471163
6,71,18843.374039
6,72,18780.300517
6,74,18701.753151
6,78,18385.329921
6,80,18253.008301
6,84,17482.008949
6,87,17289.802962
6,91,17262.210781
6,92,17083.924397
6,94,16654.090441
6,105,16460.515441
6,134,16190.808659
6,136,16082.743559
7,45,23128.478955
7,47,23021.412827
7,52,20187.756510
7,66,19494.645937
7,67,19082.471163
7,71,18827.214289
7,72,18780.300517
7,73,18563.022586
7,76,18403.730146
7,78,18206.861881
7,81,17765.379752
7,84,17482.008949
7,87,16830.395494
7,94,16543.461507
7,103,16399.758761
7,121,16339.624363
7,130,16106.834562
7,133,16102.508570
7,136,15971.476154
8,45,23128.478955
8,47,22902.052323
8,49,21921.619882
8,52,20187.756510
8,66,19494.645937
8,67,19082.471163
8,68,17874.595273
8,81,17765.379752
8,84,17482.008949
8,87,16830.395494
8,94,16543.461507
8,95,16393.168716
8,111,16174.302983
8,130,16106.834562
8,133,16102.508570
8,136,15971.476154
9,45,23128.478955
9,47,22902.052323
9,49,21921.619882
9,52,20187.756510
9,62,20004.780406
9,66,19494.645937
9,67,19082.471163
9,68,17874.595273
9,81,17765.379752
9,84,17482.008949
9,87,16830.395494
9,94,16543.461507
9,95,16393.168716
9,107,16360.800669
9,111,16174.302983
9,130,16106.834562
9,133,16102.508570
9,135,16050.762036
9,136,15971.476154
10,45,23128.478955
10,47,22758.218257
10,49,21921.619882
10,52,20187.756510
10,62,20004.780406
10,66,19494.645937
10,67,17670.778176
10,81,17624.667596
10,83,17378.664251
10,86,16671.526167
10,93,16297.240822
10,104,16275.971651
10,108,16023.385502
10,121,15919.580758
10,132,15824.040171
11,45,23128.478955
11,47,22758.218257
11,48,22377.876295
11,49,21921.619882
11,52,20187.756510
11,59,19481.567668
11,64,19208.107465
11,66,18150.313776
11,67,17670.778176
11,75,17606.055950
11,83,17378.664251
11,86,16671.526167
11,93,16297.240822
11,104,16275.971651
11,108,16023.385502
11,114,15896.836045
11,116,15839.866797
11,132,15824.040171
12,45,23128.478955
12,47,22758.218257
12,48,22377.876295
12,49,20477.030516
12,52,20187.756510
12,56,20003.965890
12,59,19481.567668
12,64,19208.107465
12,66,18150.313776
12,67,17670.778176
12,75,17606.055950
12,83,17378.664251
12,86,16671.526167
12,93,16297.240822
12,104,16275.971651
12,108,16023.385502
12,113,15937.802794
12,114,15896.836045
12,116,15839.866797
12,118,15668.641063
13,44,23063.030949
13,47,22758.218257
13,48,22377.876295
13,49,20477.030516
13,52,20187.756510
13,56,20003.965890
13,59,19481.567668
13,62,19469.926963
13,63,18751.079072
13,66,18150.313776
13,67,17670.778176
13,74,17202.971345
13,86,16487.040584
13,92,16095.073992
13,107,15959.671933
13,112,15821.805364
13,113,15795.788498
13,114,15688.136506
13,118,15557.085576
14,44,23063.030949
14,47,22758.218257
14,48,22377.876295
14,49,20477.030516
14,52,19712.871639
14,58,19498.587092
14,59,19481.567668
14,60,19231.629072
14,63,18751.079072
14,66,18150.313776
14,67,17670.778176
14,74,17202.971345
14,83,16917.211221
14,86,16487.040584
14,92,16095.073992
14,102,15991.961954
14,107,15959.671933
14,112,15821.805364
14,113,15795.788498
14,114,15688.136506
14,118,15557.085576
15,44,23063.030949
15,47,22758.218257
15,48,21878.852077
15,49,20477.030516
15,52,19712.871639
15,58,19498.587092
15,59,19481.567668
15,60,19231.629072
15,62,18317.628732
15,66,18150.313776
15,67,17670.778176
15,74,17202.971345
15,79,17065.819768
15,83,16917.211221
15,86,16487.040584
15,92,16095.073992
15,102,15991.961954
15,107,15892.917642
15,112,15706.585245
15,114,15688.136506
15,118,15557.085576
15,129,15515.785413
16,44,23063.030949
16,47,22758.218257
16,48,21876.759093
16,49,20477.030516
16,52,19712.871639
16,58,19498.587092
16,59,19481.567668
16,60,19231.629072
16,62,18317.628732
16,65,17612.797810
16,74,17202.971345
16,77,16934.169510
16,82,16849.838063
16,86,16382.440534
16,91,15973.035222
16,98,15624.400551
16,102,15549.886352
16,115,15521.644839
16,129,15464.182718
17,44,23063.030949
17,45,23011.169631
17,46,22510.361420
17,48,21876.759093
17,49,20477.030516
17,52,19712.871639
17,57,19694.757026
17,58,19498.587092
17,59,19481.567668
17,60,18931.873911
17,62,18317.628732
17,65,17612.797810
17,74,17202.971345
17,76,17125.514396
17,77,16934.169510
17,82,16849.838063
17,86,16382.440534
17,91,15973.035222
17,98,15624.400551
17,102,15549.886352
17,115,15521.644839
17,129,15464.182718
18,44,23063.030949
18,45,22097.222169
18,48,20900.019567
18,49,20477.030516
18,52,19712.871639
18,57,19694.757026
18,58,19498.587092
18,59,19426.640649
18,60,18931.873911
18,62,18317.628732
18,65,17612.797810
18,74,17202.971345
18,76,17125.514396
18,77,16934.169510
18,82,16849.838063
18,86,16382.440534
18,91,15973.035222
18,98,15624.400551
18,102,15549.886352
18,115,15521.644839
18,116,15421.971753
18,118,15405.403191
19,44,23063.030949
19,45,22097.222169
19,48,20900.019567
19,49,20386.430741
19,50,20300.504806
19,52,19712.871639
19,57,19694.757026
19,58,18738.467863
19,62,18317.628732
19,63,18212.278923
19,65,17612.797810
19,72,17179.716156
19,73,17006.551639
19,77,16806.138918
19,81,16770.303675
19,84,16285.701544
19,91,15946.964989
19,96,15503.812129
19,105,15275.088672
20,44,23063.030949
20,45,22097.222169
20,48,20900.019567
20,49,20326.949341
20,50,20300.504806
20,52,19712.871639
20,55,19683.500528
20,56,19501.625615
20,58,18738.467863
20,62,18317.628732
20,63,18212.278923
20,65,17612.797810
20,70,17286.085447
20,72,17179.716156
20,73,17006.551639
20,77,16806.138918
20,81,16770.303675
20,84,16285.701544
20,91,15946.964989
20,96,15503.812129
20,105,15275.088672
21,43,23313.117023
21,44,23063.030949
21,45,22097.222169
21,47,21945.805463
21,48,20900.019567
21,49,20326.949341
21,50,20300.504806
21,52,19712.871639
21,55,18703.946291
21,58,18488.915604
21,62,18317.628732
21,63,17589.474205
21,66,17373.702983
21,70,17286.085447
21,72,17179.716156
21,73,17006.551639
21,77,16806.138918
21,81,16770.303675
21,83,16692.231268
21,84,16285.701544
21,90,16269.403571
21,91,15946.964989
21,96,15503.812129
21,105,15275.088672
22,43,23313.117023
22,44,23063.030949
22,45,22097.222169
22,47,21945.805463
22,48,20900.019567
22,49,20320.198801
22,50,20107.577942
22,52,19712.871639
22,53,19366.623192
22,54,19346.233646
22,55,18703.946291
22,58,18488.915604
22,62,18317.628732
22,63,17589.474205
