Generation,NV,TOC
1,61,24271.086913
1,65,23802.762586
1,73,21860.188447
1,82,20391.971673
1,91,19522.291485
1,99,19008.622170
1,122,18442.107997
1,123,17745.234622
1,129,17450.220475
2,60,23596.814639
2,67,21792.707802
2,68,21356.085762
2,72,21246.690846
2,74,20725.359391
2,82,20391.971673
2,83,19561.040108
2,86,18979.377842
2,100,18552.196236
2,118,18159.782019
2,123,17745.234622
2,129,17450.220475
3,60,23596.814639
3,62,23431.327856
3,67,21792.707802
3,68,21356.085762
3,72,20065.572378
3,73,19644.202829
3,79,19336.174050
3,80,19111.389423
3,84,19045.499176
3,86,18979.377842
3,87,18960.958439
3,91,18506.562339
3,114,18085.813720
3,121,17916.439820
3,123,17745.234622
3,126,17532.945064
3,127,17383.947040
3,135,17352.305170
4,60,23484.478742
4,61,21823.197124
4,67,20455.281932
4,72,20065.572378
4,73,19644.202829
4,79,19336.174050
4,80,19111.389423
4,81,19061.676435
4,83,18802.152550
4,87,18609.824211
4,91,18506.562339
4,92,18170.439192
4,99,17931.674567
4,103,17418.795268
4,106,17269.285664
4,132,17236.107737
5,57,23581.697682
5,59,23081.626784
5,61,21823.197124
5,62,21739.339031
5,63,21396.549995
5,67,20455.281932
5,71,20118.652114
5,72,20065.572378
5,73,19644.202829
5,74,19580.239886
5,79,19336.174050
5,80,19111.389423
5,81,19061.676435
5,83,18802.152550
5,87,18609.824211
5,90,18316.639351
5,92,18170.439192
5,99,17931.674567
5,102,17306.992729
5,106,17269.285664
5,109,17179.239145
5,133,17116.904268
6,57,23581.697682
6,58,22337.043897
6,61,21823.197124
6,62,21739.339031
6,63,21396.549995
6,66,20973.064934
6,67,20455.281932
6,71,19656.429778
6,73,19644.202829
6,74,19580.239886
6,76,19376.226184
6,78,18748.939511
6,84,18393.914271
6,90,18316.639351
6,91,17815.481594
6,94,17756.683457
6,101,17381.590407
6,102,17306.992729
6,106,17231.469940
6,109,17179.239145
6,115,17114.606922
7,57,23581.697682
7,58,22337.043897
7,61,21823.197124
