Individual{TOC=13667.27999869493, NV=41}
Individual{TOC=13374.780978132318, NV=49}
Individual{TOC=14739.984269612978, NV=35}
Individual{TOC=13171.325736413068, NV=55}
Individual{TOC=14354.873488116818, NV=36}
Individual{TOC=14172.629179295982, NV=38}
Individual{TOC=14087.461256755918, NV=39}
Individual{TOC=13397.599633445323, NV=48}
Individual{TOC=13419.94508201924, NV=47}
Individual{TOC=13422.37864467686, NV=46}
Individual{TOC=13443.202745131586, NV=44}
Individual{TOC=13315.068331533497, NV=51}
Individual{TOC=15381.729007113126, NV=33}
Individual{TOC=13305.661865233116, NV=52}
Individual{TOC=15135.63446188807, NV=34}
runTime = 1928284.262673ms
