Individual{TOC=4816.50781351833, NV=32}
Individual{TOC=4801.451526412807, NV=36}
Individual{TOC=5765.613512878175, NV=20}
Individual{TOC=4775.055801341646, NV=39}
Individual{TOC=4838.655653643958, NV=30}
Individual{TOC=4891.139325074486, NV=28}
Individual{TOC=6732.09539180851, NV=14}
Individual{TOC=5995.263404789484, NV=16}
Individual{TOC=5865.869957592795, NV=18}
Individual{TOC=4863.982427355264, NV=29}
Individual{TOC=6399.006354257266, NV=15}
Individual{TOC=5054.657439315714, NV=27}
Individual{TOC=5181.706765772859, NV=26}
Individual{TOC=5336.989538911771, NV=24}
Individual{TOC=5539.416813708667, NV=21}
runTime = 1938734.687722ms
