Generation,NV,TOC
1,55,30810.442868
1,57,29465.139184
1,60,28787.848187
1,62,25967.564586
1,66,24385.258701
1,74,23545.472913
1,76,23400.763132
1,84,22765.897510
1,89,21304.642740
1,98,20393.732490
2,55,30810.442868
2,56,29458.146868
2,57,25631.644108
2,59,25365.118743
2,63,24259.789322
2,66,23328.301444
2,74,22616.313146
2,78,22235.251391
2,81,20216.915964
2,102,20076.220565
3,53,27480.900937
3,56,26200.662286
3,57,25631.644108
3,59,25190.885576
3,60,24994.016440
3,63,24259.789322
3,66,23328.301444
3,74,22616.313146
3,78,20905.481717
3,81,20216.915964
3,102,19942.545204
4,53,27480.900937
4,56,26200.662286
4,57,25631.644108
4,59,25190.885576
4,60,24994.016440
4,61,24372.124275
4,63,24259.789322
4,66,22953.862435
4,70,22785.303274
4,71,22608.520995
4,72,22393.913212
4,74,21383.433810
4,76,20838.317072
4,80,19988.083718
4,98,19598.984503
4,101,19301.158937
5,53,27480.900937
5,55,24941.550046
5,56,24601.016567
5,57,24051.654084
5,64,22677.525686
5,68,21503.681705
5,74,21383.433810
5,76,20838.317072
5,80,19988.083718
5,89,19735.860617
5,98,19598.984503
5,101,19301.158937
6,53,27480.900937
6,55,24941.550046
6,56,23514.759931
6,63,21612.262154
6,68,21065.656412
6,73,20912.889645
6,74,20717.829940
6,78,19836.602129
6,88,19581.399342
6,96,18998.916687
7,53,25043.682817
7,55,24941.550046
7,56,23514.759931
7,63,21612.262154
7,68,21065.656412
7,73,20912.889645
7,74,20717.829940
7,78,19836.602129
7,86,19780.553260
7,88,19581.399342
7,96,18998.916687
8,53,25043.682817
8,55,24941.550046
8,56,23514.759931
8,59,23144.664088
8,63,21612.262154
8,66,20867.597352
8,73,19657.093330
8,84,19386.763045
8,87,19089.710020
8,95,18818.411749
8,96,18589.789672
8,98,18580.537932
9,51,29079.307173
9,52,28732.191790
9,53,25043.682817
9,55,24941.550046
9,56,23514.759931
9,58,22907.368548
9,63,21438.655328
9,65,20822.717740
9,71,20345.535156
9,73,19657.093330
9,79,19222.857109
9,87,19089.710020
9,88,19063.140657
9,95,18818.411749
9,96,18589.789672
9,98,18580.537932
10,50,28547.924868
10,53,25043.682817
10,55,24941.550046
10,56,23514.759931
10,58,22907.368548
10,63,21438.655328
10,65,20513.256559
10,71,20116.281350
10,73,19431.804356
10,74,19089.493580
10,78,18858.294775
